y,predict
-6.0,-5.082397937774658
-5.96,-5.761923789978027
-4.79,-5.285601615905762
-6.22,-6.3130269050598145
-5.4,-6.126387596130371
-6.58,-6.380596160888672
-5.28,-5.132495880126953
-5.72,-6.0825910568237305
-5.45,-5.3660173416137695
-4.74,-4.696795463562012
-5.55,-5.78139066696167
-5.16,-5.678107261657715
-5.6,-5.571484088897705
-5.84,-6.225292682647705
-6.74,-6.088773250579834
-6.44,-5.775301933288574
-6.66,-5.866203308105469
-6.34,-5.8744659423828125
-5.1,-5.856871128082275
-5.74,-5.766484260559082
-5.46,-5.2440505027771
-7.0,-6.667747974395752
-6.02,-5.758214950561523
-5.81,-6.08362340927124
-5.26,-5.391246318817139
-4.57,-4.834012985229492
-5.57,-5.891023635864258
-5.92,-5.5001020431518555
-5.33,-5.567156791687012
-6.22,-6.117527008056641
-4.6,-4.664770126342773
-5.92,-5.922408103942871
-5.8,-6.060937881469727
-5.92,-5.623727798461914
-5.9,-5.930980205535889
-5.42,-5.3703155517578125
-5.79,-5.942620277404785
-5.89,-5.862424373626709
-5.64,-5.885976314544678
-5.26,-5.336777687072754
-5.21,-5.239862442016602
-5.44,-5.463139057159424
-7.0,-6.575533866882324
-6.23,-6.343722343444824
-5.31,-5.229518890380859
-5.13,-5.311551094055176
-4.52,-4.663599491119385
-6.66,-6.321045398712158
-5.24,-5.7478132247924805
-5.02,-5.442005157470703
-5.63,-6.082693099975586
-5.91,-6.2797088623046875
-5.82,-6.067160606384277
-5.11,-5.696997165679932
-5.87,-5.744035243988037
-6.46,-6.023950576782227
