y,predict
-4.82,-4.611896514892578
-5.897175,-6.176846504211426
-4.48,-5.108354091644287
-5.82,-5.2845282554626465
-6.52,-6.609550952911377
-6.17,-5.853025436401367
-5.7520266,-5.413787364959717
-5.5016894,-5.38788366317749
-4.82,-4.72188663482666
-7.69897,-7.122115612030029
-4.74,-4.586421489715576
-5.1,-5.212599277496338
-5.7447276,-5.345519542694092
-5.2890368,-5.329367637634277
-5.3555613,-5.374303340911865
-4.4,-4.6997199058532715
-6.3,-5.310087203979492
-5.193142,-6.221017360687256
-6.12,-5.984024524688721
-4.96,-5.301205635070801
