y,predict
-5.82,-5.702528476715088
-5.44,-6.4608635902404785
-5.77,-5.572657108306885
-6.0,-5.795486927032471
-5.06,-5.273230075836182
-5.64,-5.6862874031066895
-6.2,-6.102936744689941
-5.72,-5.882726669311523
-5.72,-5.966416358947754
-5.4,-5.935269832611084
-5.59,-5.687351703643799
-5.44,-6.118521213531494
-5.92,-5.690948009490967
-4.92,-4.91012716293335
-6.537602,-6.002391338348389
-5.55,-5.8096795082092285
-5.13,-6.093780517578125
-5.03,-5.707162380218506
-5.96,-5.993467807769775
-5.96,-5.833038806915283
-3.58,-4.0525431632995605
-4.74,-5.196352481842041
-7.39,-7.211533069610596
-6.92,-6.036401271820068
-6.0,-5.803965091705322
-5.82,-5.853438854217529
-4.71,-5.017569065093994
-5.96,-5.85806941986084
-5.43,-5.2514519691467285
-6.85,-6.576015949249268
-6.85,-6.625672340393066
-5.77,-5.347468852996826
-6.89,-6.714319705963135
-5.25,-5.150403022766113
-6.28,-5.999941349029541
-5.33,-5.085983753204346
-6.29,-5.956715106964111
-5.92,-6.02301549911499
-5.98,-5.806922435760498
-7.24,-7.125483512878418
-5.89,-5.776795864105225
-5.82,-5.649420738220215
-5.92,-5.856895923614502
-5.92,-5.79522180557251
-7.52,-7.218853950500488
-6.06,-6.487403869628906
-5.96,-5.757606506347656
-6.12,-6.1616644859313965
-6.72,-6.799727439880371
-7.74,-7.236706256866455
-5.22,-4.807215213775635
-5.55,-4.702133655548096
-5.72,-5.882133960723877
-7.09,-6.966558933258057
-5.96,-5.788620471954346
-6.21,-6.186258792877197
-5.49,-5.704416751861572
-7.33,-6.904622554779053
-5.82,-5.985947132110596
-5.8041005,-5.91166353225708
-5.55,-5.313694477081299
-7.35,-6.132868766784668
-6.96,-6.878420352935791
-6.51,-5.731738090515137
-5.77,-5.853847026824951
-7.05,-7.127404689788818
-5.54,-5.694323539733887
-5.85,-5.997230052947998
-6.55,-6.725895404815674
-4.8153086,-5.1581268310546875
-5.89,-5.665577411651611
-5.89,-5.6573805809021
-6.481486,-6.328757286071777
-5.66,-5.586215972900391
-6.92,-6.825139045715332
-7.13,-6.381708145141602
-5.49,-5.466509819030762
-5.56,-5.221381664276123
-4.63,-5.509166240692139
-5.66,-5.81523323059082
-6.51,-6.3679914474487305
-5.35,-5.3920464515686035
-5.96,-5.852267742156982
-5.89,-5.8825764656066895
-5.96,-5.666311740875244
-6.55,-6.7108354568481445
-7.62,-7.253735542297363
-6.66,-6.702298164367676
-7.4,-7.366043567657471
-7.18,-7.394161224365234
-6.52,-6.26781702041626
-5.96,-5.866212844848633
-5.39,-5.6718010902404785
-5.860121,-5.879388332366943
-5.92,-5.72288179397583
-7.31,-6.683393478393555
-7.14,-6.905581951141357
-6.21,-5.932319164276123
-7.0,-7.152396202087402
-5.55,-5.714106559753418
-5.96,-5.83613920211792
-5.92,-5.915679931640625
-5.03,-4.960265636444092
-7.02,-6.857609748840332
-7.51,-6.846850395202637
-5.72,-5.973581314086914
-7.6,-7.056297779083252
-6.4,-6.208239555358887
-6.62,-7.0274858474731445
-5.85,-5.794388294219971
-5.92,-6.276496410369873
-6.8,-6.989014148712158
-5.51,-5.432509899139404
-4.27,-4.951254367828369
-6.96,-7.200079917907715
-6.251812,-6.141146183013916
-5.6,-5.9217352867126465
-6.89,-6.666898727416992
-6.2,-5.92168664932251
-5.74,-5.759294033050537
-5.8,-5.872277736663818
-5.59,-5.478804111480713
-6.44,-6.5297956466674805
-7.77,-6.839295387268066
-6.0,-6.053131580352783
-7.7,-6.017917156219482
-5.0,-5.655308246612549
-6.124939,-6.27426290512085
-5.84,-6.117827892303467
-6.0,-5.614197254180908
-4.93,-5.927148342132568
